Day,P5,P25,P50,P75,P95
137,309.21025395856657,312.90521018127765,315.22533812414787,317.4801343744942,321.01058396604054
138,308.93113045593645,312.7950419215065,315.280061594474,317.45160067942714,321.11272300655673
139,308.8968649421913,312.8852697343556,315.2214257834004,317.537318633274,320.92473978869367
140,309.10595347401403,312.8541918492202,315.2135231973974,317.56543753627477,320.8974402019251
141,309.20747100007696,312.7542228375566,315.30773098768765,317.4891675854699,320.8702351925151
142,309.16686963013984,312.7615745495248,315.23412306713135,317.6186953137212,320.72688191323857
143,309.14068148163193,312.7170733901614,315.27033822654226,317.5536053355729,321.00254618163257
144,308.96774327495507,312.6820710412837,315.30268666746395,317.3275535001806,320.91623581226696
145,308.9475505598143,312.71087149179755,315.2554388767885,317.4619278721979,320.84018405367004
146,309.08684587642233,312.80474990044996,315.2255955240262,317.55394927981075,321.1266122658399
147,309.04425392489134,312.7472089118728,315.15803582323304,317.6454706894015,321.18358643475216
148,308.92101019088966,312.8276788545999,315.12072386723935,317.6190001400026,321.2636274671404
149,308.96141558383914,312.5751081186135,315.1913231469928,317.57396797164455,321.3771046035075
150,308.8586947748646,312.68071917769436,315.1857310233879,317.70109979518065,321.5665647607087
151,308.8185647962077,312.67520986196286,315.19661963908345,317.7149631852267,321.4046375636545
152,308.8352935706819,312.5687460704863,315.1878779109579,317.8162050004852,321.1182424898794
153,308.8138439923081,312.5246050933879,315.15717513933976,317.7894080712181,321.1567848856777
154,308.671327658483,312.60335307141963,315.1236964946323,317.72785179652476,321.31515293739193
155,308.9511898300001,312.53479439000785,315.1397796141872,317.7667480745925,321.21168965087764
156,309.0063631566121,312.4532173646377,315.0736429512749,317.72428015094283,321.5040092764968
157,308.8888294621478,312.41999561158866,315.0349691337019,317.68998028579585,321.48236488658597
158,308.8404021632195,312.44191082745226,315.131262840107,317.6542206252775,321.40277445392076
159,308.8014188311748,312.36531473299283,315.1530099908183,317.6992833720513,321.4203933414978
160,309.02421355753734,312.37874350925443,315.13073165808805,317.7461677952048,321.2690569188534
161,308.9205025502872,312.3652784406329,315.15288211842335,317.77405558498083,321.27402124850806
162,308.9020105449576,312.38267079015895,315.19655711724045,317.707571183785,321.3216705166131
163,308.8637485414167,312.3593731425849,315.2776304966869,317.71586620400967,321.6815079709794
164,308.7307749464871,312.46035846029594,315.2968016019818,317.78032416121425,321.54250868084443
165,308.86672452582275,312.35283201465995,315.249322109364,317.67908743756306,321.15353970423695
166,308.92410662021695,312.393328717201,315.1560831277534,317.7687499022821,321.33647997892206
167,309.0103970334345,312.3310825286777,315.2644263774172,317.7741532638968,321.35855590553297
168,308.99372274373786,312.28689496861114,315.22430115665213,317.89960086646266,321.4671514761295
169,308.8304023673213,312.3251927074366,315.3028447255536,317.93409329616577,321.3580264417542
170,308.83803578521633,312.33475474212617,315.35576203138896,317.9866417068497,321.5183637985753
171,308.72616625435506,312.2949737562478,315.3383032889783,317.9294044523328,321.4085307498958
172,308.86121887868956,312.3876749231904,315.305958865997,317.91258933524824,321.60943575136184
173,308.78454137182115,312.31263114803437,315.27691269594163,317.99648048634947,321.5757942653933
174,308.68659029824323,312.5157809416608,315.304050773796,317.91835711569496,321.547580814678
175,308.70795774221165,312.36483237992843,315.4056476208424,317.88305437057073,321.5682639323732
176,308.87562714304926,312.40829591747325,315.3447593687902,317.9807153173348,321.7531205564936
