Date,JPM,V,MA,PYPL,XYZ,COIN,HOOD,AFRM
2024-02-08,166.60702514648438,271.7043151855469,452.27783203125,55.83150100708008,68.83000183105469,132.5500030517578,11.220000267028809,49.220001220703125
2024-02-09,166.8071746826172,272.3446960449219,451.90277099609375,58.59671401977539,66.87999725341797,141.99000549316406,11.550000190734863,43.86000061035156
2024-02-12,167.55059814453125,271.0047912597656,452.7219543457031,59.770442962646484,68.83999633789062,147.30999755859375,12.010000228881836,45.0
2024-02-13,166.09231567382812,271.7338562011719,454.4491271972656,57.95016860961914,64.9800033569336,140.38999938964844,11.84000015258789,39.75
2024-02-14,167.77935791015625,273.4579772949219,459.1174011230469,58.55693054199219,67.41000366210938,160.3800048828125,13.380000114440918,40.9900016784668
2024-02-15,171.43939208984375,276.82745361328125,465.1278991699219,59.38251876831055,69.4800033569336,165.6699981689453,13.420000076293945,41.560001373291016
2024-02-16,170.63877868652344,274.4432373046875,462.01898193359375,58.82549285888672,65.63999938964844,180.30999755859375,14.0,38.13999938964844
2024-02-20,171.30596923828125,271.0835876464844,445.8528137207031,58.318206787109375,65.7300033569336,173.3000030517578,14.09000015258789,37.9900016784668
2024-02-21,172.42108154296875,272.6698303222656,453.0575256347656,57.174320220947266,64.47000122070312,162.41000366210938,13.59000015258789,36.66999816894531
2024-02-22,174.48941040039062,279.55645751953125,465.4042053222656,58.03969192504883,67.95999908447266,170.91000366210938,13.970000267028809,37.33000183105469
2024-02-23,175.3662872314453,279.40875244140625,467.2399597167969,58.84538650512695,78.91999816894531,165.97999572753906,14.479999542236328,36.97999954223633
2024-02-26,174.76580810546875,279.9505615234375,468.31573486328125,59.014488220214844,74.66000366210938,193.94000244140625,15.59000015258789,37.349998474121094
2024-02-27,174.85159301757812,278.985107421875,468.5526123046875,59.84006881713867,77.70999908447266,199.22000122070312,16.25,39.29999923706055
2024-02-28,175.7379913330078,281.40875244140625,472.5989990234375,59.929588317871094,78.41999816894531,200.8000030517578,16.1299991607666,37.5
2024-02-29,177.33924865722656,278.46295166015625,468.56243896484375,60.01911163330078,79.47000122070312,203.55999755859375,16.309999465942383,37.52000045776367
2024-03-01,176.6053466796875,278.9752197265625,470.4080505371094,60.218048095703125,79.25,205.77000427246094,16.579999923706055,38.0099983215332
2024-03-04,177.93019104003906,276.3840637207031,462.3742980957031,59.66102600097656,77.0,229.14999389648438,16.6299991607666,37.66999816894531
2024-03-05,179.71255493164062,275.25115966796875,461.4169006347656,57.96011734008789,74.43000030517578,216.77000427246094,15.930000305175781,36.02000045776367
2024-03-06,180.64657592773438,276.28558349609375,465.44366455078125,57.810916900634766,75.52999877929688,238.5500030517578,16.399999618530273,36.869998931884766
2024-03-07,179.06439208984375,274.1476745605469,461.4366760253906,58.18889617919922,77.22000122070312,242.6199951171875,16.360000610351562,36.59000015258789
2024-03-08,179.39801025390625,275.9013366699219,463.1343078613281,58.69618225097656,80.73999786376953,256.6199951171875,17.0,38.7599983215332
2024-03-11,179.4647216796875,276.41363525390625,463.0355529785156,59.760498046875,81.52999877929688,254.1699981689453,16.860000610351562,37.209999084472656
2024-03-12,180.9420928955078,279.7240295410156,466.6971130371094,59.710758209228516,81.70999908447266,256.1400146484375,16.389999389648438,37.52000045776367
2024-03-13,182.409912109375,280.9259948730469,469.4013366699219,62.117889404296875,85.72000122070312,251.72999572753906,17.15999984741211,38.790000915527344
2024-03-14,179.1597442626953,282.1772155761719,473.2208251953125,62.66496658325195,81.23999786376953,233.6699981689453,18.049999237060547,33.41999816894531
2024-03-15,181.3805389404297,278.8570556640625,469.61846923828125,62.51576232910156,80.16999816894531,242.36000061035156,18.149999618530273,33.709999084472656
2024-03-18,183.6299285888672,280.8373107910156,472.6385498046875,63.888427734375,80.86000061035156,239.6199951171875,18.209999084472656,34.209999084472656
2024-03-19,184.70693969726562,283.1033020019531,477.6817932128906,62.67491149902344,79.31999969482422,230.1199951171875,17.239999771118164,33.91999816894531
2024-03-20,187.12789916992188,285.0047607421875,481.6690979003906,64.70406341552734,81.45999908447266,256.8800048828125,18.559999465942383,37.790000915527344
2024-03-21,189.72991943359375,286.0787048339844,482.26129150390625,65.78826904296875,84.05000305175781,262.0,19.09000015258789,37.5099983215332
2024-03-22,187.40428161621094,279.07373046875,475.3822326660156,64.42555236816406,80.7699966430664,255.50999450683594,18.299999237060547,36.040000915527344
2024-03-25,185.6886749267578,277.0540466308594,469.8258056640625,65.64900970458984,82.62000274658203,279.7099914550781,19.079999923706055,36.630001068115234
2024-03-26,186.5560302734375,276.4530334472656,470.5758056640625,66.31544494628906,83.80000305175781,266.80999755859375,19.280000686645508,37.33000183105469
2024-03-27,190.16839599609375,274.89642333984375,471.7108154296875,66.21598052978516,83.18000030517578,256.70001220703125,20.010000228881836,36.720001220703125
2024-03-28,190.91183471679688,274.95550537109375,475.2835388183594,66.63375091552734,84.58000183105469,265.1199951171875,20.1299991607666,37.2599983215332
2024-04-01,189.61557006835938,274.1673583984375,472.1549377441406,64.68416595458984,81.45999908447266,252.11000061035156,19.40999984741211,34.83000183105469
2024-04-02,189.53932189941406,274.3249816894531,473.1714782714844,64.3161392211914,79.20999908447266,245.83999633789062,19.200000762939453,34.09000015258789
2024-04-03,189.0055694580078,272.86688232421875,471.187744140625,64.99251556396484,79.6500015258789,251.5800018310547,19.209999084472656,33.65999984741211
2024-04-04,187.56753540039062,269.95062255859375,463.6376037597656,64.19677734375,74.7300033569336,249.61000061035156,18.450000762939453,32.11000061035156
2024-04-05,189.2931671142578,273.044189453125,470.92120361328125,64.80353546142578,77.16999816894531,240.89999389648438,18.399999618530273,32.869998931884766
2024-04-08,190.28062438964844,273.65509033203125,473.25360107421875,65.98719787597656,78.3499984741211,256.989990234375,18.559999465942383,34.11000061035156
2024-04-09,189.00555419921875,272.6304016113281,466.6418762207031,66.6436996459961,79.9800033569336,242.9499969482422,18.299999237060547,35.369998931884766
2024-04-10,187.3949432373047,270.42352294921875,463.6867980957031,65.52964782714844,78.51000213623047,250.99000549316406,18.34000015258789,33.56999969482422
2024-04-11,187.35662841796875,271.60577392578125,462.8368225097656,65.4500732421875,80.05999755859375,263.010009765625,19.0,33.79999923706055
2024-04-12,175.23876953125,271.8816223144531,459.9410705566406,64.24650573730469,76.98999786376953,245.75,17.969999313354492,32.619998931884766
2024-04-15,175.33465576171875,267.2707824707031,454.4164123535156,63.1722526550293,73.5,223.41000366210938,17.190000534057617,31.059999465942383
2024-04-16,173.33099365234375,267.33978271484375,454.44610595703125,63.092681884765625,73.13999938964844,218.8300018310547,17.309999465942383,30.920000076293945
2024-04-17,172.6407470703125,268.659912109375,454.7821044921875,62.923580169677734,73.51000213623047,213.77999877929688,17.079999923706055,30.8700008392334
2024-04-18,173.76242065429688,267.35943603515625,449.3858947753906,61.769752502441406,72.05999755859375,218.0800018310547,17.079999923706055,31.149999618530273
2024-04-19,178.1244354248047,265.79296875,450.0678405761719,61.9786376953125,70.41999816894531,211.00999450683594,16.6299991607666,31.010000228881836
2024-04-22,181.5853271484375,268.3052978515625,451.41192626953125,62.85395431518555,71.5999984741211,225.86000061035156,17.190000534057617,31.96500015258789
